"period","estimand","measure","share_from","share_to","mean","median","sd","lower_95","upper_95","probability_above_null","probability_above_threshold","probability_in_rope"
"preparation","prevalence_nonuser","prevalence",NA,0,0.293156815739803,0.291794603585246,0.0483974288288034,0.202733079918596,0.391829789847527,NA,NA,NA
"preparation","prevalence_median_user","prevalence",NA,0.421052631578947,0.366821020622439,0.36335639869275,0.0415990369746273,0.29344222001625,0.455395930902346,NA,NA,NA
"preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.348422745669649,0.345426738511927,0.0423952949126593,0.271279647571608,0.439965775958591,NA,NA,NA
"preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.346536778683797,0.346166426675722,0.0422079762067405,0.266663032418708,0.432637623292427,NA,NA,NA
"preparation","adoption_difference","prevalence_difference",0,0.421052631578947,0.0736642048826357,0.073860981316052,0.0643411395343128,-0.0535669023070975,0.199647460688788,0.87625,0.641,0.1335
"preparation","adoption_ratio","prevalence_ratio",0,0.421052631578947,1.28729537397606,1.25605130581173,0.268995616370501,0.863044893114798,1.9123486196465,0.87625,0.74025,0.1085
"preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,-0.00188596698585256,0.000278869189214076,0.0572329980309636,-0.12841062332097,0.111628404846479,0.50875,0.1585,0.36025
"preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.00795727993187,1.00082617431283,0.165478873422327,0.688329086313308,1.36860466000306,0.50875,0.2365,0.328
"competition","prevalence_nonuser","prevalence",NA,0,0.372762244459464,0.37153969546629,0.0618853037095353,0.256865806601081,0.494840987308403,NA,NA,NA
"competition","prevalence_median_user","prevalence",NA,0.5,0.420718945582199,0.421521828452988,0.0402720739191307,0.338515062728843,0.499476227759889,NA,NA,NA
"competition","prevalence_low_user","prevalence",NA,0.360227272727273,0.369746974298916,0.371274746044949,0.0473327933548652,0.273814123534422,0.459974366067404,NA,NA,NA
"competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.516251453867457,0.515105179902396,0.0537270832323023,0.414313040439439,0.620998722227442,NA,NA,NA
"competition","adoption_difference","prevalence_difference",0,0.5,0.0479567011227343,0.0483877415311072,0.0741073319472086,-0.102645477291115,0.18728003064714,0.748,0.48975,0.17875
"competition","adoption_ratio","prevalence_ratio",0,0.5,1.16189782520734,1.13053253915562,0.234550347053997,0.782988260910542,1.68739324201661,0.748,0.56,0.18025
"competition","dose_difference","prevalence_difference",0.360227272727273,0.714285714285714,0.146504479568541,0.145959306641892,0.0800845887248231,-0.00117255588825884,0.307184478864339,0.96925,0.88125,0.06275
"competition","dose_ratio","prevalence_ratio",0.360227272727273,0.714285714285714,1.42576269963709,1.39568939625496,0.275807039719924,0.997048977904164,2.07124658371382,0.96925,0.89625,0.065
